"# of Use","使用次数"
"%1$s incl tax.","%1$s 含杂费。"
"%s - %s","%s - %s"
"%s Item(s)","%s件产品"
"Associated Products","相关产品"
"Attrib. Set Name","属性组合名称"
"Attribute ""%s"" is invalid.","属性 ""%s"" 不允许。"
"Attribute ""%s"" is required.","属性 ""%s"" 是必需的。"
"Attribute Information","属性信息"
"Attribute Model","属性型号"
"Attribute Name:","属性名称："
"Attribute Set","属性组合"
"Attribute group with the \"/name/\" name already exists","名为 \"/name/\" 的属性组已存在"
"Attribute with the same code already exists","属性代码已存在"
"Attributes","属性"
"Attrribute names can be specified per store.","同一属性可为每一个商店指定不同的名称。"
"Autogenerate","自动生成"
"Availability:","库存："
"Back","返回"
"Backend Model","后台型号"
"Backend Table","后台表"
"Backend Table Title","后台表标题"
"Backorders","缺货订单"
"Based On","基于"
"Best Value","超值"
"Best Selling Products","畅销商品"
"Block after Info Column","信息栏之后的区块"
"Bottom Block Options Wrapper","Bottom Block Options Wrapper"
"Bottom/Left","左下"
"Bottom/Right","右下"
"Browse By","查看"
"Bundle Items","捆绑货品"
"Buy %1$s for %2$s","一次购买 %1$s，每件 %2$s"
"Buy %1$s for %2$s (%3$s incl. tax) each","一次购买 %1$s，每件仅需 %2$s (%3$s 含杂费)"
"Buy %1$s for %2$s each","一次购买 %1$s，每件仅需 %2$s"
"Buy %1$s with %2$s discount each","Buy %1$s with %2$s discount each"
"Cache Lifetime (Seconds)","缓存有效期 (秒)"
"Cache refresh needed.","缓存需要刷新。"
"Can be used only with catalog input type Dropdown","仅用于目录下拉菜单"
"Can be used only with catalog input type Dropdown, Multiple Select and Price","仅用于目录下拉菜单、多重选择和价格"
"Can\'t create image.","无法创建图片。"
"Cancel","取消"
"Cannot create image.","无法创建图片。"
"Cannot create writeable directory '%s'.","无法创建可写目录 '%s'。"
"Cart Item Attribute","购物产品属性"
"Catalog","目录"
"Catalog Category (Anchor)","产品目录 (固定点)"
"Catalog Category (Non-Anchor)","产品目录(非固定点)"
"Catalog Category (Without Subcategories)","产品分类(没有子分类)"
"Catalog Category Link","产品目录链接"
"Catalog New Products List","目录新产品列表"
"Catalog Price Scope","目录产片价格范围"
"Catalog Product Compare List","目录产品比较列表"
"Catalog Product Email to a Friend","目录产品推荐给朋友"
"Catalog Product Image Gallery Popup","目录产品图片弹出"
"Catalog Product Link","目录产品连接"
"Catalog Product View (Any)","目录产品查看(所有)"
"Catalog Product View (Configurable)","目录产品查看 (可配置产品)"
"Catalog Product View (Grouped)","目录产品查看 (打包产品)"
"Catalog Product View (Simple)","目录产品查看 (简单产品)"
"Catalog Product View (Virtual)","目录产品查看 (虚拟产品)"
"Catalog Section","目录单元"
"Catalog Seo Popular Search Terms","目录SEO热门搜索词"
"Catalog Seo Sitemap (Category List)","目录SEO地图 (分类列表)"
"Catalog Seo Sitemap (Category Tree)",目录SEO地图 (分类树)"
"Catalog Seo Sitemap (Common)","目录SEO地图 (普通)"
"Catalog Seo Sitemap (Product List)","目录SEO地图(产品列表)"
"Catalog URL Rewrites","目录网址重写"
"Catalog, Search","分类,搜索"
"Categories","产品类别"
"Categories Sitemap","分类站点地图"
"Category","分类"
"Category API","分类 API"
"Category Data","分类数据"
"Category Flat Data","分类平面数据"
"Category Link Block Template","分类链接块模板"
"Category Link Inline Template","分类链接内联模板"
"Category Products","分类产品"
"Category Top Navigation","顶部目录导航"
"Category URL Suffix","目录 URL 后缀"
"Category attributes API","分类属性 API"
"Category move error","移动分类出错"
"Category move operation is not possible: the new parent category was not found.","分类移动操作不成功,新的父类没有找到."
"Category must be an instance of Mage_Catalog_Model_Category.","分类必须是 Mage_Catalog_Model_Category 实例"
"Center","居中"
"Change","修改"
"Change or Retrieve attribute store view","修改或获取商店界面属性"
"Change status","修改状态"
"Check items to add to the cart or","选择产品添加至购物车或"
"Choose an Option...","选择选项..."
"Clear All","清除所有"
"Close Window","关闭窗口"
"Collapse All","全部叠起"
"Comma-separated.","逗号分隔。"
"Comparable","可比较"
"Comparable on Front-end","可在前台比较"
"Comparable on the Frontend","在前台可比较"
"Compare","Compare"
"Compare Products","比较产品"
"Conditions Combination","条件组合"
"Configurable Product","可设置产品"
"Configurable Product Settings","可设置产品的设置"
"Configure Product","可设置产品"
"Continue","继续"
"Copy From Configurable","从可设置复制"
"Country/State","国家/地区"
"Create","创建"
"Create (Upload)","创建（上传）"
"Create Empty","创建空"
"Create Permanent Redirect for old URL","为旧网址创建永久重定向"
"Create Permanent Redirect for old URLs if Url key changed","如果网址变化，为旧网址创建永久重定向"
"Create Product Settings","创建产品设置"
"Create Simple Associated Product","创建简单相关产品"
"Create new category","创建新分类"
"Create new product","创建新产品"
"Cross-sells","交叉销售"
"Currently Shopping by:","当前购物人："
"Custom Design","主题设计"
"Custom Options","自定义选项"
"Customer Group","客户组"
"Customers Reviews","客户评论"
"Customers Tagged Product","客户标签产品"
"Customers for alert %s were successfuly added to queue","成功添加提醒%s的客户到队列"
"Data Type for Saving in Database","保存在数据库的日期类型"
"Date & Time Custom Options","自定义时间和日期选项"
"Date Fields Order","日期字段排序"
"Date Subscribed","订阅日期"
"Datetime","日期"
"Decimal","小数"
"Declare attribute value saving scope","声明属性值保存范围"
"Default Price","默认价格"
"Default Price Navigation Step","默认价格导航步"
"Default Qty","缺省数量"
"Default Values","缺省值"
"Defines the base currency scope (""Currency Setup"" > ""Currency Options"" > ""Base Currency"").","定义基准货币范围 (""货币设置"" > ""货币选项"" > ""基准货币"")."
"Delete","删除"
"Delete Attribute","删除属性"
"Delete Attribute Set","删除属性组合"
"Delete Category","删除分类"
"Delete Option","删除选项"
"Delete Row","删除行"
"Delete Search","删除搜索"
"Delete Selected Group","删除选定的组"
"Delete category","删除分类"
"Delete product","删除产品"
"Depends on design theme","决定于模板设计"
"Design","设计"
"Details","细节"
"Disabled","禁用"
"Disallowed file type.","不允许的文件类型."
"Display in Suggested Terms","建议条款中显示"
"Double click on a group to rename it","双击以重命名"
"Double click on above image to view full picture","双击图片以查看完整大小"
"Downloadable Information","可下载信息"
"Duplicate","复制"
"Duplicate website tier price customer group and quantity.","复制网站分层价格客户组和数量。"
"Duplicate website, country and state tax found.","复制网站，国家和地区杂费率。"
"E.g. {{media url=""path/to/image.jpg""}} {{skin url=""path/to/picture.gif""}}. Dynamic directives parsing impacts catalog performance.","E.g. {{media url=""path/to/image.jpg""}} {{skin url=""path/to/picture.gif""}}. Dynamic directives parsing impacts catalog performance."
"Edit","修改"
"Edit Attribute Set '%s'","修改属性组合'%s'"
"Edit Product Attribute","修改产品属性"
"Edit Product Attribute ""%s""","修改产品属性""%s"""
"Edit Search","修改搜索"
"Edit Search '%s'","修改搜索'%s'"
"Edit Set Name","编辑集名"
"Email","电子邮件"
"Email to %s was not sent.","发给 %s 的邮件没有发出。"
"Email to a Friend","推荐给你的朋友"
"Empty","空"
"Enable Qty Increments","使用数量增加"
"Enable WYSIWYG","启用所见即所得编辑器"
"Enabled","激活"
"Error during retrieval of option value: %s","读取选项值时出错：%s"
"Exclude","不显示"
"Expand All","全部展开"
"Failed","失败"
"Failed to move file: %s","无法移动文件：%s"
"Feature Products","推荐产品"
"Field is not complete","Field是不完整的"
"File options format is not valid.","文件选项格式是不正确的。"
"File upload failed","文件上传失败"
"Filter model name must be declared.","过滤器名必须声明。"
"Filter must be an object. Please set correct filter.","过滤器必须作为对象。请正确设置过滤器。"
"Filterable (no results)","过滤(无结果)"
"Filterable (with results)","有条件 (含结果)"
"First Name","名字"
"Fixed","固定"
"For internal use.","内部使用。"
"Frontend","前台"
"Frontend Model","前台型号"
"Frontend Properties","前台属性"
"Gallery","图册"
"General Information","基本信息"
"Get special price","获取特价信息"
"Global","全站"
"Globally Editable","可全站修改"
"Go to Home Page","转到首页"
"Grid","多栏"
"Grouped Product","组合产品"
"Groups","组"
"Home","首页"
"ID","编号"
"ID: %s","编号: %s"
"If empty, the Category Name will be used","如果为空，将使用分类名"
"If empty, the Product Name will be used","如果为空,将使用产品名"
"If you do not specify an option value for a specific store view then the default (Admin) value will be used.","如果您未给商店指定选项值，将使用缺省值。"
"Image","图片"
"Image content is not valid base64 data.","图片内容不是正确的 base64 数据。"
"Image does not exist.","图片不存在。"
"Image file was not found.","图片文件没找到。"
"Image type and information need to be specified for each store view.","每个商店界面要输入图片类型和信息。"
"In Stock","有货"
"In stock","有货"
"Incl. Tax","含杂费"
"Index product and categories URL rewrites","索引产品和分类链接重写"
"Index product attributes for layered navigation building","索引产品属性分层导航"
"Index product prices","索引产品价格"
"Indexed category/products association","索引分类/产品"
"Info Column Options Wrapper","信息栏选项外观"
"Input Type","输入类型"
"Integer","整数"
"Invalid Tier Prices","错误的分级价格"
"Invalid attribute %s.","无效属性 %s。"
"Invalid attribute option specified for attribute %s (%s), skipping the record","属性%s (%s)的属性选项不正确，忽略该记录"
"Invalid attribute set specified, skipping the record","属性组合不正确，忽略该记录"
"Invalid block: %s.","方框不正确：%s。"
"Invalid category IDs.","分类编号不正确。"
"Invalid category.","错误的分类。"
"Invalid image file type.","图片文件类型不正确。"
"Invalid image type.","错误的分类类型。"
"Invalid option ID specified for %s (%s), skipping the record.","%s (%s)的选项编号不正确，忽略该记录。"
"Invalid product type specified, skipping the record","产品类型不正确，忽略该记录"
"Invalid store specified","指定的商店不正确"
"Invalid store specified, skipping the record","商店不正确，忽略该记录"
"Invalid tier prices. The product is not associated to the requested website.","无效双重价格。产品与请求网站无关."
"Invalid transactional email code.","无效的电子邮件传输代码"
"Inventory","库存"
"Is Default","默认"
"Is Required","必填"
"Items %s to %s of %s total","产品%s到%s，共%s件"
"Items that you do not want to show in the catalog or search results should have status 'Disabled' in the desired store.","不要显示在目录或搜索结果中的产品， 相应商店中的状态要设置为'禁用'。"
"Items that you don't want to show in the catalog or search results should have status 'Disabled' in the desired store.","不要显示在目录或搜索结果中的产品， 相应商店中的状态要设置为'禁用'。"
"Keep your eyes open for our special Back to School items and save A LOT!","Keep your eyes open for our special Back to School items and save A LOT!"
"Label","标签"
"Last Name","姓氏"
"Last Notification","最近提醒"
"Layered Navigation","层导航"
"Learn More","了解更多"
"Line %d, Email: %s","行%d，电子邮件：%s"
"Line %d, SKU: %s","行%d，SKU: %s"
"Link (Related, Up sell, Cross sell)","连接（关联，推荐销售，交叉销售）"
"Link product does not exist.","连接产品不存在。"
"Link to a Specified Category","连接到指定的分类"
"Link to a Specified Product","连接到指定的产品"
"List","单栏"
"List Mode","列表模式"
"List of Products that are set as New","产品列表设置为新"
"Manage Attribute Sets","管理属性组合"
"Manage Attributes","管理属性"
"Manage Catalog Categories","管理目录分类"
"Manage Categories","管理分类"
"Manage Label / Options","管理标签/选项"
"Manage Options (values of your attribute)","管理选项 (属性值)"
"Manage Product Attributes","管理产品属性"
"Manage Product Sets","管理产品组合"
"Manage Products","管理产品"
"Manage Stock","管理库存"
"Manage Titles (Size, Color, etc.)","管理标题 (大小、颜色等。)"
"Max Characters","最大字符数目"
"Maximal Depth","最大层数"
"Maximum Image Size","最大图片尺寸"
"Maximum Qty Allowed in Shopping Cart","购物车中允许的最多产品数量"
"Maximum allowed image size for '%s' is %sx%s px.","对于 '%s' 的最大允许图片大小为 %sx%s px."
"Maximum image height","最大图片高度"
"Maximum image width","最大图片宽度"
"Maximum number of characters:","最大字符数目："
"Media Image","媒体图片"
"Minimum Lines per Page","每页最小行数"
"Minimum Qty Allowed in Shopping Cart","购物车中必须的最少产品数量"
"Minimum Qty for Item\'s Status to be Out of Stock","产品缺货状态的最低数量"
"Missing SKU, skipping the record","缺少 SKU，忽略该记录"
"More Views","更多"
"Move","移动"
"Move category in tree","移动分类"
"Must be in the allowed values list.","必须在允许的值。"
"N/A","无"
"Name","产品名"
"Name in %s","%s中名称"
"New Product","新增产品"
"New Product Attribute","新产品属性"
"New Products","新产品"
"New Products Grid Template","新产品网格模板"
"New Products List Template","新产品列表模板"
"New Root Category","新的根目录"
"New Search","新搜索"
"New Set Name","新组合名称"
"New Subcategory","新子目录"
"Next","下一个"
"No","否"
"No image","没有图片"
"No layout updates","无布局更新"
"No options of this product are available.","没有该产品的选项可用。"
"No product collections found.","没有找到产品组合。"
"None","无"
"Not Visible Individually","不可见"
"Notify Low Stock RSS","低库存提醒RSS"
"Notify for Quantity Below","提醒数量低于"
"Number of Products to Display","显示产品的数量"
"Number of Uses","使用次数"
"Number of results<br/>(For the last time placed)","结果数量<br/>(最后一次)"
"OK","OK"
"OR","或"
"Old Price:","原价："
"Option validation failed to add product to cart.","将所购产品添加至购物车时失败"
"Option:","选项："
"Options Control","选项控制"
"Options is required","必填选项"
"Our customer service is available 24/7. Call us at (555) 555-0123.","我们的客户服务 7x24 可用。客服电话：(555) 555-0123。"
"Out of Stock","缺货"
"Out of stock","缺货"
"PM","PM"
"Page Title Separator","页面标题分隔符"
"Parent Category","上层分类"
"Pending","等待"
"Pending Reviews RSS","待审评论的RSS"
"Percentage","百分比"
"Please add rows to option.","请添加行选项。"
"Please be careful as once you click on the row it will load package data form the selected file and all unsaved form data will be lost.","请谨慎操作，一旦您点击此行，选定文件的包数据将被导入，所有未保存的表单将会丢失。"
"Please click on the Close Window button if it is not closed automatically.","如果窗口没有自动关闭，点关闭按钮"
"Please enter a new group name","请输入新组名"
"Please refresh ""Catalog URL Rewrites"" and ""Product Attributes"" in System -> <a href=""%s"">Index Management</a>","请刷新 ""目录 URL 重写"" 和 ""产品属性"" 在 系统 -> <a href=""%s"">索引管理</a>"
"Please select a static block ...","请选择静态块 ..."
"Please select items.","请选择条目。"
"Please select one or more attributes.","请选择一个以上属性。"
"Please select product(s).","请选择产品"
"Please select products for attributes update","请选择产品更新属性"
"Please specify date required option(s).","请指定日期必选项目"
"Please specify the product required option(s)","请指定产品必选项"
"Please specify the product required option(s).","请指定产品必选项。"
"Please specify the product\'s option(s).","请指定产品选项。"
"Please specify the product\'s required option(s).","请指定产品必选项。"
"Please specify the quantity of product(s).","请指定产品数量。"
"Please specify time required option(s).","请指定时间必选项。"
"Please wait...","请等待..."
"Position","位置"
"Position in Layered Navigation","层导航中位置"
"Position of attribute in layered navigation block","层导航方框中的属性位置"
"Prev","上一步"
"Previous","上一步"
"Price","价格"
"Price Navigation Step Calculation","价格导航步计算"
"Price Type","价格类型"
"Price is not available","价格不可用"
"Price values for options should be specified in system base currency.","价格的值应该指定系统基础货币."
"Price:","价格："
"Price: %s","价格: %s"
"Print This Page","打印该页"
"Product","产品"
"Product API","产品 API"
"Product Alerts","产品提醒"
"Product Attribute","产品属性"
"Product Attributes","产品属性"
"Product Categories","产品分类"
"Product Description","产品说明"
"Product Extra Info","产品附加信息"
"Product Flat Data","产品平面数据"
"Product ID","产品 ID"
"Product Image Placeholders","产品图像占位符"
"Product Image Watermarks","产品图像水印"
"Product Images","产品图片"
"Product Images API","产品图片 API"
"Product In Websites","产品网站"
"Product Info Column","产品信息栏"
"Product Information","产品信息"
"Product Link Block Template","产品连接块模板"
"Product Link Inline Template","产品连接内联模板"
"Product Listing Sort by","产品列表排序按"
"Product Name","产品名称"
"Product Prices","产品价格"
"Product Reviews","产品评论"
"Product Tags","产品标签"
"Product Tier Price API","产品分级价格 API"
"Product Type","产品类型"
"Product URL Suffix","产品 URL 后缀"
"Product View Extra Hint","产品视图附加提示"
"Product attribute sets API","产品属性集合 API"
"Product attributes API","产品属性 API"
"Product collection expected.","需要产品组合。"
"Product is not loaded","产品没有加载"
"Product links API (related, cross sells, up sells)","产品连接 API （相关产品，交叉销售，推荐销售）"""
"Product name","产品名称"
"Product types API","产品类型 API"
"Product with this combination of attributes already associated to configurable.","该属性组合的产品已与配置关联。"
"Products","产品"
"Products Comparison List","产品比较列表"
"Products Information","产品信息"
"Products Reviews","产品评论"
"Products Sitemap","产品站点地图"
"Products only","仅限产品"
"Products per Page on Grid Allowed Values","多栏模式下每页产品显示数量允许值"
"Products per Page on Grid Default Value","每页多栏产品数量的缺省值"
"Products per Page on List Allowed Values","单栏列表模式下每页产品显示数允许值"
"Products per Page on List Default Value","每页列表产品数量的缺省值"
"Properties","属性"
"Qty","数量："
"Qty Increments","数量增加"
"Qty Uses Decimals","数量用十进制"
"Qty for Item\'s Status to become Out of Stock","此数量时将产品状态设置为库存不足"
"Qty:","数量:"
"Quantity","数量"
"Quick Create","快速创建"
"Quick Overview","快速查看:"
"Quick simple product creation","快速创建简单产品"
"Records for ""","记录"""
"Redirect","重定向"
"Redirect URL","重定向网址"
"Regular Price:","原价："
"Related Products","相关产品"
"Remove","删除"
"Remove Product From Websites","从网站删除产品"
"Remove This Item","删除该项目"
"Remove product assignment","从分类中删除分配产品"
"Remove product image","删除产品图片"
"Remove product link","删除产品连接"
"Reorganize EAV category structure to flat structure","重新整理 EAV 分类结构为平面结构"
"Reorganize EAV product structure to flat structure","重新整理 EAV 产品结构为平面结构"
"Reset","重置"
"Results","结果"
"Retrieve attribute data","获取属性数据"
"Retrieve attribute list","获取属性列表"
"Retrieve attribute options","获取属性选项"
"Retrieve categories tree","检索分类树"
"Retrieve category attributes","检索分类属性"
"Retrieve category data","获取分类数据"
"Retrieve hierarchical tree","获取分级(目录)树"
"Retrieve linked products","获取连接产品列表"
"Retrieve list of assigned products","获取指定产品列表"
"Retrieve one level of categories by website/store view/parent category","根据网站/商店视图/父目录获取单层分类"
"Retrieve product","获取产品信息"
"Retrieve product attribute sets","获取产品属性集合"
"Retrieve product image","获取产品图片"
"Retrieve product image list","获取产品图片列表"
"Retrieve product image types","获取产品图片类型"
"Retrieve product link type attributes","获取产品连接类型属性"
"Retrieve product link types","获取产品连接类型"
"Retrieve product tier prices","获取产品分级价格"
"Retrieve product types","获取产品类型"
"Retrieve products data","获取产品数据"
"Retrieve products list by filters","根据过滤器获取产品列表"
"Reviews","评论"
"Roll Over for preview","总评"
"Root","根分类"
"SKU","库存单位"
"SKU length should be %s characters maximum.","SKU 最多 %s 个字符"
"Save","保存"
"Save Attribute","保存属性"
"Save Attribute Set","保存属性组合"
"Save Category","保存分类"
"Save Search","保存搜索"
"Save and Continue Edit","保存并继续编辑"
"Saved %d record(s)","保存 %d 条记录"
"Scope","范围"
"Search","搜索"
"Search Engine Optimizations","搜索引擎优化"
"Search Information","搜索信息"
"Search Query","搜索"
"Search Term with such search query already exists.","搜索关键词已存在。"
"Searchable","可搜索"
"Select Category...","选择分类..."
"Select Configurable Attributes ","选择可设置属性"
"Select Product...","选择产品..."
"Select type of option","选择选项类型"
"Select type options required values rows.","选择类型选项需指定选项值数组"
"Selected Product Types","选择产品类型"
"Selected configuration is not available.","选择的设置不可用。"
"Send Count","发送计算"
"Set Ascending Direction","设为升序"
"Set Descending Direction","设为降序"
"Set Name","组合名称"
"Set Root Category for Store","给商店设置根分类"
"Set root category for this store in the <a href=""%s"">configuration</a>","在<a href=""%s"">设置</a>中给该商店设置根分类"
"Set special price","设置特价"
"Set/Get current store view","设置/获得当前商店界面"
"Settings","设置"
"Shop By","购物"
"Shopping Options","购物选项"
"Show","显示"
"Show Details","显示详情"
"Show Tags","显示标签"
"Simple Product","简单产品"
"Site Map","网站地图"
"Sitemap","网站地图"
"Skip import row, is not valid value ""%s"" for field ""%s""","忽略导入行，不是正确的 ""%s"" 在栏目 ""%s"""
"Skip import row, required field ""%s"" for new customer not defined","忽略导入行，新客户的必填栏目""%s""未定义"
"Skip import row, required field ""%s"" for new products not defined","忽略导入行，新产品的必填栏目""%s""未定义"
"Skipping import row, required field ""%s"" for new products is not defined.","忽略导入行，新产品必填栏目 ""%s"" 未定义。"
"Skipping import row, required field ""%s"" is not defined.","忽略导入行，必填栏目""%s""未定义。"
"Skipping import row, store ""%s"" field does not exist.","忽略导入行，商店""%s""栏目不存在。"
"Skipping import row, the value ""%s"" is not valid for the ""%s"" field.","忽略导入行，值 ""%s"" 对于栏目 ""%s"" 不合理。"
"Some of the processed products have no SKU value defined. Please fill it prior to performing operations on these products.","部分处理产品没有定义 SKU 值。 请在对这些产品进行操作之前补充完整。"
"Some of the products below do not have all the required options. Please edit them and configure all the required options.","下面的部分产品不拥有所有需要的选项。请删除它们并添加所有必要再次选择。"
"Sort By","排序"
"Sort Order","排序"
"Source Model","源型号"
"Special Expires On: %s","特价到: %s"
"Special Price:","特价："
"Special Price: %s","特价: %s"
"Starting at:","起价："
"Static","固定"
"Static block and products","固定方框和产品"
"Static block only","仅固定方框"
"Status","状态"
"Stock Availability","库存情况"
"Store","商店"
"Store View","商店界面"
"Stretch","伸展"
"Subscribe to RSS Feed","订阅 RSS Feed"
"Super product attributes configuration","高级产品属性设置"
"Synonym For","同义"
"System Properties","系统属性"
"Tag Name","标签名"
"Tax","杂费"
"Template","模板"
"Text","文字"
"The Flat Catalog module has a limit of %2\$d filterable and/or sortable attributes. Currently there are %1\$d of them. Please reduce the number of filterable/sortable attributes in order to use this module.","平面目录模块受限于 %2\$d 可筛选或可索引的属性. 当前有 %1\$d. 请减少筛选项目数量，或者索引属性以便于使用本模块。"
"The attribute model is not defined","属性模型未定义。"
"The attribute set has been saved.","属性集合已经保存。"
"The base directory to upload file is not specified.","未指定上传文件的基准目录。"
"The category has been deleted.","该目录已经删除。"
"The category has been saved.","该目录已经保存。"
"The comparison list was cleared.","比较列表被清空。"
"The email template is not specified by administrator.","管理员未指定邮件模板。"
"The file '%s' for '%s' has an invalid extension","文件 '%s' 为 '%s' 后缀不允许"
"The file '%s' you uploaded is larger than %s Megabytes allowed by server","您所上传的文件 '%s' 大于服务器所允许的 %s M"
"The file you uploaded is larger than %s Megabytes allowed by server","您所上传的文件超过了服务器允许的 %s M"
"The filters must be an array.","过滤器必须是数组。"
"The image contents is not valid base64 data.","图片不是允许的 base64 数据。"
"The image is not specified.","未指定图片。"
"The product %s has been added to comparison list.","产品 %s 已经添加到比较列表。"
"The product %s has been removed from comparison list.","产品 %s 已经从比较列表移除。"
"The product attribute has been deleted.","产品属性已经删除。"
"The product attribute has been saved.","产品属性已经保存。"
"The product has been created.","产品已经创建。"
"The product has been deleted.","产品已经删除。"
"The product has been duplicated.","产品已经复制。"
"The product has been saved.","产品已经保存。"
"The product has required options","该产品具有要求的选项"
"The review has been deleted","评价已经删除"
"The review has been saved.","评价已经保存。"
"The review was removed by another user or does not exist.","评价已经被其他用户删除或不存在。"
"The search was deleted.","搜索已经删除。"
"The text is too long","文本太长"
"There are no %s available.","没有%s可用。"
"There are no customers for this alert","该提醒没有客户"
"There are no customers for this alert.","该提醒没有客户。"
"There are no products matching the selection.","没有与选择匹配的产品。"
"There was an error while request processing.","请求处理时发生错误。"
"This Attribute no longer exists","该属性已不存在。"
"This attribute cannot be deleted.","该属性不能删除。"
"This attribute cannot be edited.","该属性不能编辑。"
"This attribute cannot be updated.","该属性不能更新。"
"This attribute is used in configurable products. You cannot remove it from the attribute set.","此属性已用于配置产品上，您不能从属性集中删除它"
"This attribute no longer exists","此属性已经不存在"
"This attribute set no longer exists.","该属性集合已经不存在。"
"This group contains attributes, used in configurable products. Please move these attributes to another group and try again.","这组包含的属性，在配置的产品中使用。请移动到另一个组这些属性，然后再试一次."
"This group contains system attributes. Please move system attributes to another group and try again.","该属性组包含系统属性。请将系统属性移到另外一个组后再试。"
"This is a required option","此为必选项"
"This product no longer exists.","该产品已不存在。"
"This search no longer exists.","该搜索已不存在。"
"Tier Pricing","分级价格"
"Tile","排列"
"Time Format","时间格式"
"Title","标题"
"To reindex the enabled product(s), the store or product must be specified.","您需要为重建索引产品指定商店或产品。"
"Top/Left","左上"
"Top/Right","右上"
"Total Qty Base Items","Base 记录总数 "
"Total incl. Tax: %1$s","杂费总额： %1$s"
"Total of %d record(s) have been deleted.","共有 %d 条记录被删除。"
"Total of %d record(s) have been updated.","共有 %d 条记录被更新。"
"Type","类型"
"URL Rewrite Management","URL重写管理"
"Unable to complete this request.","无法完成请求。"
"Unable to find a search term to delete.","没有找到要删除的搜索关键词。"
"Unable to find an attribute to delete.","没有找到要删除的属性。"
"Unable to get the product ID.","无法取得产品编号。"
"Unassigned Attributes","未指定的属性"
"Unknown EAV indexer type ""%s"".","未知 EAV 索引类型 ""%s""。"
"Unknown attribute: %s.","未知属性： %s."
"Unsupported product type ""%s"".","不支持产品类型 ""%s""."
"Up-sells","推荐销售"
"Update","更新"
"Update Attributes","更新属性"
